id,title,tags
21032,Balto,"an outcast half-wolf risks his life to prevent a deadly epidemic from ravaging nome, alaska. family, animation, adventure, kevinbacon, bobhoskins, bridgetfonda, jimcummings, philcollins, simonwells"
10858,Nixon,"an all-star cast powers this epic look at american president richard m. nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. spanning his troubled boyhood in california to the shocking watergate scandal that would end his presidency. history, drama, anthonyhopkins, joanallen, powersboothe, edharris, bobhoskins, oliverstone"
1408,Cutthroat Island,"morgan adams and her slave, william shaw, are on a quest to recover the three portions of a treasure map. unfortunately, the final portion is held by her murderous uncle, dawg. her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. this is made yet more difficult by the efforts of the british crown to end her pirate raids. action, adventure, geenadavis, matthewmodine, franklangella, maurychaykin, patrickmalahide, rennyharlin"
524,Casino,"the life of the gambling paradise – las vegas – and its dark mafia underbelly. drama, crime, robertdeniro, sharonstone, joepesci, jameswoods, donrickles, martinscorsese"
4584,Sense and Sensibility,"rich mr. dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. two daughters are the titular opposites. drama, romance, katewinslet, emmathompson, hughgrant, tomwilkinson, alanrickman, anglee"
5,Four Rooms,"it's ted the bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. it seems that this evening's room service is serving up one unbelievable happening after another. crime, comedy, timroth, antoniobanderas, jenniferbeals, madonna, marisatomei, allisonanders,alexandrerockwell,robertrodriguez,quentintarantino"
9273,Ace Ventura: When Nature Calls,"summoned from an ashram in tibet, ace finds himself on a perilous journey into the jungles of africa to find shikaka, the missing sacred animal of the friendly wachati tribe. he must accomplish this before the wedding of the wachati's princess to the prince of the warrior wachootoos. if ace fails, the result will be a vicious tribal war. crime, comedy, adventure, jimcarrey, ianmcneice, simoncallow, maynardeziashi, bobgunton, steveoedekerk"
11517,Money Train,"a vengeful new york transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him. action, comedy, crime, wesleysnipes, woodyharrelson, jenniferlopez, robertblake, chriscooper, josephruben"
8012,Get Shorty,"chili palmer is a miami mobster who gets sent by his boss, the psychopathic ""bones"" barboni, to collect a bad debt from harry zimm, a hollywood producer who specializes in cheesy horror films. when chili meets harry's leading lady, the romantic sparks fly. after pitching his own life story as a movie idea, chili learns that being a mobster and being a hollywood producer really aren't all that different. comedy, thriller, crime, johntravolta, genehackman, renerusso, dannydevito, dennisfarina, barrysonnenfeld"
1710,Copycat,"an agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past. drama, thriller, sigourneyweaver, hollyhunter, willpatton, williammcnamara, harryconnickjr., jonamiel"
9691,Assassins,"assassin robert rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. horrified by the murder of innocent bystanders, rath decides to take one last job and then return to civilian life. but finding his way out of the world of contract killing grows ever more dangerous as rath falls for his female target and becomes a marked man himself. action, adventure, crime, thriller, sylvesterstallone, antoniobanderas, juliannemoore, anatolidavydov, musewatson, richarddonner"
12665,Powder,"harassed by classmates who won't accept his shocking appearance, a shy young man known as ""powder"" struggles to fit in. but the cruel taunts stop when powder displays a mysterious power that allows him to do incredible things. this phenomenon changes the lives of all those around him in ways they never could have imagined. drama, fantasy, science fiction, thriller, marysteenburgen, seanpatrickflanery, lancehenriksen, jeffgoldblum, brandonsmith, victorsalva"
451,Leaving Las Vegas,"ben sanderson, an alcoholic hollywood screenwriter who lost everything because of his drinking, arrives in las vegas to drink himself to death. there, he meets and forms an uneasy friendship and non-interference pact with prostitute sera. drama, romance, nicolascage, elisabethshue, juliansands, richardlewis, stevenweber, mikefiggis"
16420,Othello,"the evil iago pretends to be friend of othello in order to manipulate him to serve his own end in the film version of this shakespeare classic. drama, laurencefishburne, irènejacob, kennethbranagh, nathanielparker, indraové, oliverparker"
9263,Now and Then,"waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- teeny, chrissy, samantha and roberta -- recall the magical summer of 1970. during their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more. comedy, drama, family, christinaricci, rosieo'donnell, thorabirch, melaniegriffith, gabyhoffmann, leslilinkaglatter"
17015,Persuasion,"this film adaptation of jane austen's last novel follows anne elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to frederick wentworth, a young sea captain of meager means. years later, money troubles force anne's father to rent out the family estate to admiral croft, and anne is again thrown into company with frederick -- who is now rich, successful and perhaps still in love with anne. drama, romance, amandaroot, ciaránhinds, susanfleetwood, fionashaw, johnwoodvine, rogermichell"
902,The City of Lost Children,"a scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process. fantasy, science fiction, adventure, ronperlman, dominiquepinon, judithvittet, danielemilfork, jean-claudedreyfus, jean-pierrejeunet,marccaro"
37557,Shanghai Triad,"a provincial boy related to a shanghai crime family is recruited by his uncle into cosmopolitan shanghai in the 1930s to be a servant to a ganglord's mistress. drama, crime, gongli, libao-tian, wangxiaoxiao, lixuejian, chunsung, zhangyimou"
9909,Dangerous Minds,"former marine louanne johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. after having a terrible first day, she decides she must throw decorum to the wind. when johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost. drama, crime, michellepfeiffer, georgedzundza, courtneyb.vance, robinbartlett, johnneville, johnn.smith"
63,Twelve Monkeys,"in the year 2035, convict james cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. but when cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. there he meets psychiatrist dr. kathryn railly, and patient jeffrey goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the army of the 12 monkeys, thought to be responsible for unleashing the killer disease. science fiction, thriller, mystery, brucewillis, madeleinestowe, bradpitt, christopherplummer, davidmorse, terrygilliam"
78802,Wings of Courage,"sin datos romance, adventure, craigsheffer, elizabethmcgovern, tomhulce, kenpogue, ronsauvé, jean-jacquesannaud"
9598,Babe,"babe is a little pig who doesn't quite know his place in the world. with a bunch of odd friends, like ferdinand the duck who thinks he is a rooster and fly the dog he calls mom, babe realizes that he has the makings to become the greatest sheep pig of all time, and farmer hogget knows it. with the help of the sheep dogs babe learns that a pig can be anything that he wants to be. fantasy, drama, comedy, family, christinecavanaugh, miriammargolyes, dannymann, hugoweaving, miriamflynn, chrisnoonan"
47018,Carrington,"the story of the relationship between painter dora carrington and author lytton strachey in a world war one england of cottages and countryside. although platonic due to strachey's homosexuality, the relationship was nevertheless a deep and complicated one. when carrington did develop a more physical relationship with soldier ralph partridge, strachey was able to welcome him as a friend, although partridge remained somewhat uneasy, not so much with strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector. history, drama, romance, emmathompson, jonathanpryce, stevenwaddington, samuelwest, rufussewell, christopherhampton"
687,Dead Man Walking,"a justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. susan sarandon won an oscar for best female actress for her convincing portrayal of sister helen prejean. drama, susansarandon, seanpenn, robertprosky, raymondj.barry, r.leeermey, timrobbins"
139405,Across the Sea of Time,"a young russian boy, thomas minton, travels to new york as a passenger on a russian freighter. close to ellis island he gets off and thus starts his journey to america the same way as all immigrants in former times. thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3d-photography. the boy follows his relative's traces by counter-checking the old 3d-photographs of new york (using an antique viewer) with the same places and how they look today. this way, the audience gets to see the big apple in former times as well as today. adventure, history, drama, family, peterreznick, johnmcdonough, avihoffman, mattmalloy, abbylewis, stephenlow"
33689,It Takes Two,"identical 9-year-olds from very different backgrounds: orphaned amanda and wealthy alyssa meet at summer camp and decide to switch places -- and play matchmaker between alyssa's dad, roger, and the kind social worker who cares for amanda. comedy, family, romance, kirstiealley, steveguttenberg, ashleyolsen, mary-kateolsen, janesibbett, andytennant"
9603,Clueless,"shallow, rich and socially successful cher is at the top of her beverly hills high school's pecking scale. seeing herself as a matchmaker, cher first coaxes two teachers into dating each other. emboldened by her success, she decides to give hopelessly klutzy new student tai a makeover. when tai becomes more popular than she is, cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him. comedy, drama, romance, aliciasilverstone, staceydash, brittanymurphy, paulrudd, donaldfaison, amyheckerling"
34615,"Cry, the Beloved Country","a south-african preacher goes to search for his wayward son who has committed a crime in the big city. drama, jamesearljones, charless.dutton, jackrobinson, tsholofelowechoemang, ramalaomakhene, darrelljamesroodt"
31174,Richard III,"shakespeare's play transplanted into a 1930s setting. drama, war, ianmckellen, annettebening, jimbroadbent, kristinscottthomas, adriandunbar, richardloncraine"
11443,Dead Presidents,"depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". however, more broadly, it addresses the issues of black americans' involvement in the vietnam war and their subsequent disillusionment with progress in social issues and civil rights back home in the united states, during the 1960s. action, crime, drama, history, larenztate, keithdavid, christucker, freddyrodríguez, rosejackson, alberthughes,allenhughes"
35196,Restoration,"an aspiring young physician, robert merivel found himself in the service of king charles ii and saves the life of someone close to the king. merivel joins the king's court and lives the high life provided to someone of his position. merivel is ordered to marry his king's mistress in order to divert the queens suspicions. he is given one order by the king and that is not to fall in love. the situation worsens when merivel finds himself in love with his new wife. eventually, the king finds out and relieves merivel of his position and wealth. his fall from grace leaves merivel where he first started. and through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician. drama, romance, robertdowneyjr., megryan, samneill, davidthewlis, hughgrant, michaelhoffman"
9312,Mortal Kombat,"for nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. if he wins a tenth mortal kombat tournament, desolation and evil will reign over the multiverse forever. to save earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time. action, fantasy, christopherlambert, robinshou, lindenashby, cary-hiroyukitagawa, bridgettewilson, paulw.s.anderson"
577,To Die For,"susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. a very dark comedy from independent director gus van sant with a brilliant nicole kidman in the leading role. fantasy, drama, comedy, thriller, nicolekidman, mattdillon, joaquinphoenix, caseyaffleck, illeanadouglas, gusvansant"
11861,How To Make An American Quilt,"soon-to-be-wed graduate student finn dodd develops cold feet when she suspects her fiancé is cheating on her. in order to clear her head, finn visits her grandmother, hy, and great aunt, glady joe cleary, in grasse, calif. there, finn learns that hy and glady joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom. drama, romance, winonaryder, annebancroft, ellenburstyn, katenelligan, jeansimmons, jocelynmoorhouse"
807,Se7en,"two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. the seasoned det. sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, mills, scoffs at his efforts to unravel the case. crime, mystery, thriller, bradpitt, morganfreeman, gwynethpaltrow, johnc.mcginley, kevinspacey, davidfincher"
10530,Pocahontas,"history comes gloriously to life in disney's epic animated tale about love and adventure in the new world. pocahontas is a native american woman whose father has arranged for her to marry her village's best warrior. but a vision tells her change is coming, and soon she comes face to face with it in the form of capt. john smith. adventure, animation, drama, family, irenebedard, melgibson, davidogdenstiers, johnkassir, russellmeans, mikegabriel,ericgoldberg"
8391,When Night Is Falling,"a prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town. drama, romance, pascalebussières, rachaelcrawford, henryczerny, donmckellar, patriciarozema"
629,The Usual Suspects,"held in an l.a. interrogation room, verbal kint attempts to convince the feds that a mythic crime lord, keyser soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in san pedro harbor – leaving few survivors. verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess. drama, crime, thriller, stephenbaldwin, gabrielbyrne, chazzpalminteri, kevinpollak, petepostlethwaite, bryansinger"
117164,Guardian Angel,"detective - turned - bodyguard cynthia mckay (cynthia rothrock) is hired by a psychotic icy seductress, nina lindell (lydie denier), the same woman who killed mckay's lover months earlier.  with vendetta in her heart mckay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  in a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action. action, thriller, drama, cynthiarothrock, marshallr.teague, danielmcvicar, lydiedenier, johno'leary, richardw.munchkin"
11448,Mighty Aphrodite,"when lenny and his wife, amanda, adopt a baby, lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. but when he learns that max's mother is linda ash, a kindhearted prostitute and porn star, lenny is determined to reform her immoral lifestyle. a greek chorus chimes in to relate the plot to greek mythology in this quirky comedy. comedy, romance, woodyallen, mirasorvino, helenabonhamcarter, f.murrayabraham, donaldsymington, woodyallen"
49133,Lamerica,"fiore, an italian conman, arrives in post communist albania with gino, his young apprentice, to set up a shoe factory that will never open. the con requires a native albanian, so they designate spiro, an impoverished and confused former political prisoner as chairman of the board. when fiore returns to italy to get government funds for the project, spiro unexpectedly disappears and gino sets out on a journey to find him. the search leads him to discover spiro's tragic personal history and witness albanian poverty firsthand. drama, foreign, enricoloverso, micheleplacido, piromilkani, carmelodimazzarelli, marjetaljarja, gianniamelio"
26441,The Big Green,"in a depressed texas town, british foreign exchange teacher anna attempts to inject some life into her hopeless kids by introducing them to soccer. they're terrible at first, but anna and her football-hero assistant whip them into shape. as they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles. action, adventure, comedy, family, steveguttenberg, oliviad'abo, jayo.sanders, johnterry, bughall, hollygoldbergsloan"
97406,Georgia,"sadie looks up to her older sister georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. it's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. finally, though, sadie's achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing. drama, jenniferjasonleigh, marewinningham, tedlevine, maxperlich, johndoe, ulugrosbard"
124057,Kids of the Round Table,"set in modern times, alex finds king arthur's sword excalibur and must prove himself worthy of it. sin datos, johnnymorina, malcolmmcdowell, maggiecastle, jamesrae, michaelironside, roberttinnell"
9089,Home for the Holidays,"after losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend thanksgiving with her boyfriend, claudia larson has to face spending the holiday with her family. she wonders if she can survive their crazy antics. comedy, drama, romance, hollyhunter, robertdowneyjr., annebancroft, charlesdurning, clairedanes, jodiefoster"
11010,The Postman,"simple italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty beatrice. comedy, drama, romance, philippenoiret, massimotroisi, mariagraziacucinotta, renatoscarpa, lindamoretti, michaelradford"
99040,The Confessional,"the year is 1952, in quebec city. rachel (16), unmarried and pregnant, works in the church. filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the confessional. in the present year of 1989, pierre lamontagne has returned to quebec to attend his father's funeral. he meets up with his adopted brother, marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the quebec of the 1950s. past and present converge in a complex web of intrigue where the answer to the mystery lies. thriller, drama, mystery, lothairebluteau, patrickgoyette, jean-louismillette, kristinscottthomas, ronburrage, robertlepage"
11359,The Indian in the Cupboard,"a nine-year-old boy gets a plastic indian and a cupboard for his birthday and finds himself involved in adventure when the indian comes to life and befriends him. adventure, family, fantasy, halscardino, litefoot, lindsaycrouse, richardjenkins, rishibhat, frankoz"
17182,Eye for an Eye,"it's fire and brimstone time as grieving mother karen mccann takes justice into her own hands when a kangaroo court in los angeles fails to convict robert doob, the monster who raped and murdered her 17-year-old daughter. drama, thriller, sallyfield, kiefersutherland, edharris, beverlyd'angelo, charlaynewoodard, johnschlesinger"
2054,Mr. Holland's Opus,"in 1965, passionate musician glenn holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. as the decades roll by with the composition unwritten but generations of students inspired through his teaching, holland must redefine his life's purpose. music, drama, family, richarddreyfuss, glenneheadly, jaythomas, olympiadukakis, williamh.macy, stephenherek"
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"when ashtray (shawn wayans) moves to south central l.a. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin loc dog (marlon wayans), who along with the requisite pistols and uzi carries a thermo-nuclear warhead for self-defense. will ashtray be able to keep living the straight life? comedy, shawnwayans, marlonwayans, traceycherellejones, chrisspencer, vivicaa.fox, parisbarclay"
19760,Two If by Sea,"frank o'brien, a petty thief, and his 7-year-long girlfriend roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. frank takes roz to an island on the coast of new england, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. not everything goes as planned. comedy, romance, sandrabullock, denisleary, yaphetkotto, stephendillane, traceycherellejones, billbennett"
9536,Bio-Dome,"bud and doyle are two losers who are doing nothing with their lives. both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the earth. one day, when a group of scientists begin a mission to live inside a ""bio-dome"" for a year without outside contact, bud and doyle mistakenly become part of the project themselves. comedy, paulyshore, stephenbaldwin, joeylaurenadams, teresahill, williamatherton, jasonbloom"
11525,Lawnmower Man 2: Beyond Cyberspace,"jobe is resuscitated by jonathan walker. he wants jobe to create a special computer chip that would connect all the computers in the world into one network, which walker would control and use. but what walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan. action, science fiction, patrickbergin, mattfrewer, austino'brien, elypouget, camillecooper, farhadmann"
40628,Two Bits,"it's a hot summer day in 1933 in south philly, where 12-year old gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to gennaro and which gennaro would like to have to buy a ticket to the plush new movie theater. but grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists gennaro to act as his emissary. drama, family, jerrybarone, alpacino, maryelizabethmastrantonio, joegrifasi, geoffpierson, jamesfoley"
4482,French Twist,"after learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. none of their lives will ever be the same again. comedy, romance, victoriaabril, josianebalasko, alainchabat, tickyholgado, catherinehiegel, josianebalasko"
10634,Friday,"craig and smokey are two guys in los angeles hanging out on their porch on a friday afternoon, smoking and drinking, looking for something to do. comedy, icecube, christucker, nialong, tomlisterjr., johnwitherspoon, f.garygray"
755,From Dusk Till Dawn,"seth gecko and his younger brother richard are on the run after a bloody bank robbery in texas. they escape across the border into mexico and will be home-free the next morning, when they pay off the local kingpin. they just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a hell of a strip joint. horror, action, thriller, crime, georgeclooney, quentintarantino, harveykeitel, juliettelewis, ernestliu, robertrodriguez"
11859,Fair Game,"max kirkpatrick is a cop who protects kate mcquean, a civil law attorney, from a renegade kgb team out to terminate her action, thriller, romance, williambaldwin, cindycrawford, stevenberkoff, christophermcdonald, miguelsandoval, andrewsipes"
28387,Kicking and Screaming,"after college graduation, grover's girlfriend jane tells him she's moving to prague to study writing. grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like chet, the professional student who tends bar and is in his tenth year of university studies. comedy, drama, romance, joshhamilton, oliviad'abo, carlosjacott, ericstoltz, chriseigeman, noahbaumbach"
48750,Les Miserables,"in france during world war ii, a poor and illiterate man, henri fortin (jean-paul belmondo), is introduced to victor hugo's classic novel les misérables and begins to see parallels between the book and his own life. drama, history, jean-paulbelmondo, michelboujenah, alessandramartines, salomélelouch, anniegirardot, claudelelouch"
20927,Bed of Roses,"the seeds of love are planted when lisa, a high-powered investment banker, receives flowers from a secret admirer. but when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all. drama, romance, christianslater, marystuartmasterson, pamelaadlon, joshbrolin, briantarantina, michaelgoldenberg"
36929,Big Bully,"a writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again. comedy, family, rickmoranis, tomarnold, juliannephillips, carolkane, jeffreytambor, steveminer"
9102,Screamers,"(sirius 6b, year 2078) on a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as screamers designed for one purpose only -- to hunt down and destroy all enemy life forms. horror, science fiction, peterweller, roydupuis, jenniferrubin, andrewlauer, lilianakomorowska, christianduguay"
124626,Nico Icon,"a look into the many lives of christa päffgen, otherwise known as nico; from cutie german mädchen to the first of the supermodels, to glamorous diva of the velvet underground, to cult item, junkie and hag. many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live. documentary, nico, tinaaumont, jacksonbrowne, johncale, paulmorrissey, susanneofteringer"
27526,The Crossing Guard,"after his daughter died in a hit and run, freddy gale has waited six years for john booth, the man responsible, to be released from prison. on the day of release, gale visits booth and announces that he will kill him in one week. booth uses his time to try and make peace with himself and his entourage, and even finds romance. gale, whose life is spiraling down because of his obsession towards booth, will bring himself on the very edge of sanity. at he end of the week, both men will find themselves on a collision course with each other. drama, thriller, jacknicholson, davidmorse, anjelicahuston, robinwright, piperlaurie, seanpenn"
9623,The Juror,"with his gangster boss on trial for murder, a mob thug known as ""the teacher"" tells annie laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son oliver if she fails. she manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown. drama, thriller, demimoore, alecbaldwin, josephgordon-levitt, anneheche, jamesgandolfini, briangibson"
46785,The White Balloon,"several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with. family, drama, aidamohammadkhani, mohsenkafili, fereshtehsadreorafaiy, annaborkowska, mohammadshahani, jafarpanahi"
400,Things to Do in Denver When You're Dead,"a mafia film in tarantino style with a star-studded cast. jimmy’s “the saint” gangster career has finally ended. yet now he finds him self doing favors for a wise godfather known as “the man with the plan.” drama, crime, andygarcía, christopherlloyd, williamforsythe, billnunn, treatwilliams, garyfleder"
880,Antonia's Line,"after world war ii, antonia and her daughter, danielle, go back to their dutch hometown, where antonia's late mother has bestowed a small farm upon her. there, antonia settles down and joins a tightly-knit but unusual community. those around her include quirky friend crooked finger, would-be suitor bas and, eventually for antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women. drama, comedy, willekevanammelrooy, elsdottermans, doravandergroen, veerlevanoverloop, esthervriesendorp, marleengorris"
146599,Once Upon a Time... When We Were Colored,"this film relates the story of a tightly connected afro-american community informally called colored town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called cliff who spent his childhood there. despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. for those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. in response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights. romance, drama, alfreeman, jr., phyliciarashād, paulakelly, sallirichardson-whitfield, annamariahorsford, timreid"
188588,Last Summer in the Hamptons,"filmed entirely on location in east hampton, long island, ""last summer in the hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. victoria foyt plays a young hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch viveca lindfors and made up of an extraordinary mix of prominent new york actors, directors, and playwrights. in the course of a very unusual weekend, comic as well as serious situations arise, and the family's secrets - of which there are many - begin to unravel. sin datos, victoriafoyt, vivecalindfors, jonrobinbaitz, savannahsmithboucher, roscoeleebrowne, henryjaglom"
